st,stname,year,population,domestics,immigrants,bach_share,efi_score,cm_share,ehs_share,ifpbs_share,nrm_share,ttuhos_share,private_gdp
21,Kentucky,2007,4256672,4148438,108234,0.20131369616538447,5.722246533750386,0.2633295023941246,0.09799538248657684,0.2888513298285761,0.048072978117777165,0.3017508071729452,156694.1
22,Louisiana,2007,4375581,4226158,149423,0.20254295791075735,6.3162501524666395,0.33468869635103266,0.07566600200332381,0.22697196967798952,0.07667994519597743,0.28599338677167657,206401.0
23,Maine,2007,1327040,1280979,46061,0.26665037073250225,4.9603061044522585,0.18504181254904875,0.14412168205240608,0.363552921790082,0.017464787629826346,0.2898187959786367,51021.7
24,Maryland,2007,5653408,4952343,701065,0.35283989361673485,7.030579212098292,0.1480395721543566,0.10990700558907719,0.47052621431298675,0.004781040708491252,0.26674616723508815,261227.8
25,Massachusetts,2007,6431559,5521823,909736,0.38108385351234597,6.706490444014981,0.16358834571091851,0.1326611868181161,0.4798356045434833,0.003465586677990566,0.22044927624949132,387591.6
26,Michigan,2007,10001284,9383616,617668,0.2476660209707539,5.0535951863884465,0.2594679562411919,0.0969994768173527,0.3781352073641493,0.0092221546641026,0.25617520491320356,423047.2
27,Minnesota,2007,5207203,4859726,347477,0.3096695983078827,5.847527028747915,0.20108515417210462,0.1053361045683277,0.4074557448100279,0.021829753698365255,0.2642932427511746,269480.3
28,Mississippi,2007,2928350,2876171,52179,0.19028258274221377,5.674151688444549,0.27820051862762113,0.0920206861441159,0.26995282008020927,0.034295867193231314,0.3255301079548225,87611.1
29,Missouri,2007,5887612,5683232,204380,0.2489262798821005,6.69829267300686,0.21221755854389002,0.10193904871808812,0.3868672634781605,0.01678209898858984,0.2821940302712716,250735.3
30,Montana,2007,964706,949572,15134,0.2655138897598294,5.969702675195957,0.17516072191220183,0.1033400177055727,0.3135130854364593,0.08913030566154072,0.3188558692842253,35072.3
31,Nebraska,2007,1783440,1676869,106571,0.2695287404772067,6.899219156216394,0.18490526151955575,0.09178011705687561,0.3638066830904037,0.05724729339368533,0.3022606449394796,85935.0
32,Nevada,2007,2601072,2092851,508221,0.2168942214948573,7.071575678873313,0.16309076771756328,0.05269229629441474,0.35598539723665146,0.03204267935588662,0.39618885939548404,140787.9
33,New Hampshire,2007,1312540,1250261,62279,0.32269455521841467,7.9474177932784364,0.1661888105204809,0.12040859886206523,0.41629075316500047,0.004824754222655478,0.29228708322979785,62599.1
34,New Jersey,2007,8677885,6943090,1734795,0.3366851512747075,5.569197279452759,0.16944179530081235,0.09117296779815236,0.44836184235474047,0.002538851834675322,0.2884845427116195,491522.9
35,New Mexico,2007,1990070,1799789,190281,0.24342539903282925,5.4786116934889355,0.14837192202235144,0.09266010208616639,0.36920671341309463,0.10494765020206091,0.28481361227632657,66530.9
36,New York,2007,19132335,14956840,4175495,0.3170320173126866,4.1209430642838845,0.10651016387257137,0.09766122796966006,0.5683393193716267,0.0028442109091781883,0.2246450778769637,1190203.7
37,North Carolina,2007,9118037,8484404,633633,0.25751341304839204,6.985725317750123,0.3190580922339383,0.0834698890897237,0.34804955436789725,0.012632586774310664,0.23678987753412997,408053.8
38,North Dakota,2007,652822,639051,13771,0.26570954090105536,6.83713196495226,0.1680167131897263,0.1022699741928688,0.2831340741911132,0.11881462755218483,0.32776461087410685,27513.8
39,Ohio,2007,11500468,11080290,420178,0.24239908223822018,4.65835771631684,0.25390546450530466,0.10083982219992657,0.3742621097607921,0.009398236127586088,0.2615943674063907,513588.6
40,Oklahoma,2007,3634349,3445666,188683,0.2254109277532866,7.097582085879389,0.18831747441265856,0.09038130305976376,0.32448653076222334,0.09972288354219136,0.29709180822316295,124578.6
41,Oregon,2007,3722417,3356039,366378,0.28515597829354644,5.19355317912778,0.21755323168010685,0.10287400377276364,0.36779860339290404,0.027133933109326838,0.2846402280448986,153492.5
42,Pennsylvania,2007,12563937,11886231,677706,0.2571725861177193,6.019487798462317,0.20205101285811353,0.1283939574723054,0.39656397500727386,0.012725500471829656,0.2602655541904776,571657.2
44,Rhode Island,2007,1057315,920089,137226,0.3011577756416255,4.986313650106884,0.16391991010231555,0.14904589124994466,0.43502973749623136,0.003261531844736748,0.24874292930677167,47297.7
45,South Carolina,2007,4444110,4248674,195436,0.23814674040736264,5.714503726989986,0.27195052314613527,0.07493989424359646,0.34111023166573146,0.008624757997688668,0.303374592946848,160718.0
46,South Dakota,2007,791623,776920,14703,0.25220445591184887,8.003105868542283,0.16150400709210158,0.09976003961945623,0.39551326075238663,0.07332061935497994,0.2699020731810757,36380.3
47,Tennessee,2007,6175727,5928316,247411,0.21929967035838768,7.05960611897435,0.23105255522036774,0.10566767607847936,0.3245276295216204,0.01284719937287934,0.3259049398066532,259127.9
48,Texas,2007,23831983,20019924,3812059,0.2517534956402159,7.638689047798376,0.24352380367952633,0.06813531784563907,0.33280158950751776,0.07128255029392448,0.2842567386733924,1131821.3
49,Utah,2007,2597746,2386876,210870,0.2888068565339572,6.659872687720346,0.2106037345820703,0.07312088489999662,0.4105271927457084,0.031935822881149274,0.27381236489107547,114487.4
50,Vermont,2007,623481,601609,21872,0.33282331136255533,5.064333641641531,0.1724750134162924,0.14499279756933095,0.3561470829147046,0.02406055690727223,0.3023245491923997,24690.0
51,Virginia,2007,7751000,6960653,790347,0.33706470713275866,7.613872082868711,0.1799590759275368,0.07883846646967281,0.47920664282307035,0.010526724757552931,0.2514690900221672,369817.2
53,Washington,2007,6461587,5655443,806144,0.3020691000915089,5.650159327292898,0.23296618688999585,0.0742273169657393,0.39998610920244554,0.02153993737862248,0.27128044956319675,333453.4
54,West Virginia,2007,1834052,1812232,21820,0.17258788049762194,5.416368821682918,0.18666307667830495,0.11648696327197133,0.2829965679478146,0.1113205270988756,0.3025328650030334,56984.4
